Trade number;Market pos.;Qty;Entry price;Exit price;Entry time;Exit time;Profit;Cum. net profit;
96;Long;1;3898,50;3926,00;24/03/2021 0:00:00;24/03/2021 15:30:00;1359,00 $;22676,50 $;
97;Long;1;3885,75;3858,50;25/03/2021 0:00:00;25/03/2021 14:00:00;-1378,50 $;21298,00 $;
98;Long;1;4123,00;4153,75;15/04/2021 1:00:00;15/04/2021 15:30:00;1521,50 $;22819,50 $;
99;Long;1;4123,25;4141,75;21/04/2021 1:00:00;21/04/2021 15:30:00;909,00 $;23728,50 $;
100;Long;1;4133,25;4163,75;23/04/2021 1:00:00;23/04/2021 15:30:00;1509,00 $;25237,50 $;
101;Long;1;4177,25;4148,00;04/05/2021 1:00:00;04/05/2021 14:00:00;-1478,50 $;23759,00 $;
102;Long;1;4179,00;4149,75;11/05/2021 1:00:00;11/05/2021 2:30:00;-1478,50 $;22280,50 $;
103;Long;1;4068,25;4039,75;13/05/2021 1:00:00;13/05/2021 8:30:00;-1441,00 $;20839,50 $;
104;Long;1;4115,50;4086,75;19/05/2021 1:00:00;19/05/2021 9:00:00;-1453,50 $;19386,00 $;
105;Long;1;4207,75;4193,75;31/05/2021 1:00:00;31/05/2021 15:30:00;-716,00 $;18670,00 $;
106;Long;1;4180,75;4220,00;04/06/2021 1:00:00;04/06/2021 15:30:00;1946,50 $;20616,50 $;
107;Long;1;4213,75;4217,75;10/06/2021 1:00:00;10/06/2021 15:30:00;184,00 $;20800,50 $;
108;Long;1;4187,00;4211,00;17/06/2021 1:00:00;17/06/2021 15:30:00;1184,00 $;21984,50 $;
109;Long;1;4146,00;4176,00;21/06/2021 1:00:00;21/06/2021 10:00:00;1484,00 $;23468,50 $;
110;Long;1;4312,25;4346,50;09/07/2021 1:00:00;09/07/2021 15:30:00;1696,50 $;25165,00 $;
111;Long;1;4359,50;4375,25;14/07/2021 1:00:00;14/07/2021 15:30:00;771,50 $;25936,50 $;
112;Long;1;4346,75;4343,00;16/07/2021 1:00:00;16/07/2021 15:30:00;-203,50 $;25733,00 $;
113;Long;1;4307,50;4277,25;19/07/2021 1:00:00;19/07/2021 11:30:00;-1528,50 $;24204,50 $;
114;Long;1;4388,50;4419,25;29/07/2021 1:00:00;29/07/2021 15:30:00;1521,50 $;25726,00 $;
115;Long;1;4386,50;4390,50;30/07/2021 1:00:00;30/07/2021 15:30:00;184,00 $;25910,00 $;
116;Long;1;4391,75;4378,75;03/08/2021 1:00:00;03/08/2021 15:30:00;-666,00 $;25244,00 $;
117;Long;1;4395,00;4364,25;19/08/2021 1:00:00;19/08/2021 7:00:00;-1553,50 $;23690,50 $;
118;Long;1;4462,75;4500,00;27/08/2021 1:00:00;27/08/2021 15:30:00;1846,50 $;25537,00 $;
119;Long;1;4519,25;4538,25;02/09/2021 1:00:00;02/09/2021 15:30:00;934,00 $;26471,00 $;
120;Long;1;4525,75;4546,75;06/09/2021 1:00:00;06/09/2021 15:30:00;1034,00 $;27505,00 $;
121;Long;1;4518,50;4497,75;08/09/2021 1:00:00;08/09/2021 15:30:00;-1053,50 $;26451,50 $;
122;Long;1;4499,00;4513,00;09/09/2021 1:00:00;09/09/2021 15:30:00;684,00 $;27135,50 $;
123;Long;1;4486,25;4476,00;10/09/2021 1:00:00;10/09/2021 15:30:00;-528,50 $;26607,00 $;
124;Long;1;4458,50;4460,75;13/09/2021 1:00:00;13/09/2021 15:30:00;96,50 $;26703,50 $;
125;Long;1;4443,75;4443,50;15/09/2021 1:00:00;15/09/2021 15:30:00;-28,50 $;26675,00 $;
